rank,CHP_ID,Chinese_herbal_pieces,high_quality_ratio,total_compounds,effective_count,high_quality_count,ultra_high_count
134,CHP04208,透骨草,1.0,2.0,2.0,2.0,2.0
135,CHP04163,铁树叶,1.0,1.0,1.0,1.0,1.0
136,CHP00795,东北蛔蒿,1.0,3.0,3.0,3.0,3.0
137,CHP04238,土木香,1.0,2.0,2.0,2.0,2.0
138,CHP04297,王孙,1.0,1.0,1.0,1.0,1.0
139,CHP04717,小通草,1.0,14.0,14.0,14.0,14.0
140,CHP04753,小芸木,1.0,4.0,4.0,4.0,4.0
141,CHP04622,小百部,1.0,1.0,1.0,1.0,1.0
142,CHP04666,小花盾叶薯蓣,1.0,1.0,1.0,1.0,1.0
143,CHP00463,楤木,1.0,4.0,4.0,4.0,4.0
144,CHP00428,春福寿草,1.0,3.0,3.0,3.0,3.0
145,CHP00430,椿白皮,1.0,1.0,1.0,1.0,1.0
146,CHP04869,鸭儿芹,1.0,1.0,1.0,1.0,1.0
147,CHP04379,无漏子,1.0,1.0,1.0,1.0,1.0
148,CHP04340,乌骨藤,1.0,1.0,1.0,1.0,1.0
149,CHP04324,文冠果,1.0,4.0,4.0,4.0,4.0
150,CHP04328,文竹,1.0,1.0,1.0,1.0,1.0
151,CHP00662,稻芽,1.0,2.0,2.0,2.0,2.0
152,CHP00667,地柏枝,1.0,1.0,1.0,1.0,1.0
153,CHP00671,地丁,1.0,1.0,1.0,1.0,1.0
154,CHP04359,乌药,1.0,19.0,19.0,19.0,19.0
155,CHP00649,倒吊笔,1.0,2.0,2.0,2.0,2.0
156,CHP04404,五加皮,1.0,3.0,3.0,3.0,3.0
157,CHP04409,五气朝阳草,1.0,9.0,9.0,9.0,8.0
158,CHP00768,钓樟枝叶,1.0,1.0,1.0,1.0,1.0
159,CHP04465,溪黄草,1.0,7.0,7.0,7.0,7.0
160,CHP04459,西洋接骨木,1.0,4.0,4.0,4.0,4.0
161,CHP00583,大叶蒟,1.0,2.0,2.0,2.0,2.0
162,CHP04521,夏天无,1.0,5.0,5.0,5.0,5.0
163,CHP04550,香柏,1.0,3.0,3.0,3.0,3.0
164,CHP00635,淡竹叶,1.0,1.0,1.0,1.0,1.0
165,CHP04535,咸酸蔃,1.0,1.0,1.0,1.0,0.0
166,CHP06099,红曲,1.0,2.0,2.0,2.0,2.0
167,CHP06039,象胆,1.0,1.0,1.0,1.0,1.0
168,CHP06130,太白花,1.0,1.0,1.0,1.0,1.0
169,CHP02304,莲房,1.0,5.0,5.0,5.0,5.0
170,CHP02284,栗柄金粉蕨,1.0,1.0,1.0,1.0,1.0
171,CHP02339,蓼实,1.0,2.0,2.0,2.0,2.0
172,CHP05800,鹅臎,1.0,1.0,1.0,1.0,1.0
173,CHP05772,蚕蛾,1.0,1.0,1.0,1.0,1.0
174,CHP05729,总状绿绒蒿,1.0,1.0,1.0,1.0,1.0
175,CHP05670,紫萁,1.0,2.0,2.0,2.0,2.0
176,CHP05882,鸡肉,1.0,1.0,1.0,1.0,1.0
177,CHP05840,海马,1.0,3.0,3.0,3.0,3.0
178,CHP05843,海燕,1.0,2.0,2.0,2.0,2.0
179,CHP05848,黑蚂蚁,1.0,1.0,1.0,1.0,1.0
180,CHP05853,猴枣,1.0,1.0,1.0,1.0,1.0
181,CHP05866,鲩鱼,1.0,1.0,1.0,1.0,1.0
182,CHP05877,鸡胆,1.0,2.0,2.0,2.0,2.0
183,CHP05380,泽泻,0.9583333333333334,24.0,24.0,23.0,23.0
184,CHP02547,麻黄根,0.9523809523809523,21.0,21.0,20.0,20.0
185,CHP01245,骨碎补,0.9459459459459459,37.0,37.0,35.0,35.0
186,CHP05124,夜来香,0.9411764705882353,17.0,17.0,16.0,16.0
187,CHP00746,滇茜草,0.9354838709677419,31.0,31.0,29.0,29.0
188,CHP04975,羊踯躅,0.9333333333333333,15.0,15.0,14.0,14.0
189,CHP03673,肾茶,0.9259259259259259,27.0,27.0,25.0,25.0
190,CHP01886,绞股蓝,0.9190283400809717,247.0,247.0,227.0,227.0
191,CHP05159,益智,0.9166666666666666,12.0,12.0,11.0,11.0
192,CHP04216,土贝母,0.9166666666666666,24.0,24.0,22.0,22.0
193,CHP03585,山香,0.9166666666666666,12.0,12.0,11.0,11.0
194,CHP03111,平贝母,0.9166666666666666,24.0,24.0,22.0,22.0
195,CHP02796,米仔兰,0.9166666666666666,12.0,12.0,11.0,11.0
196,CHP03398,三七花,0.9166666666666666,24.0,24.0,22.0,22.0
197,CHP04519,夏枯草,0.9130434782608695,23.0,23.0,21.0,20.0
198,CHP00824,冬凌草,0.9,50.0,50.0,45.0,45.0
199,CHP01957,金叶子,0.9,10.0,10.0,9.0,9.0
200,CHP06090,茯苓,0.9,30.0,30.0,27.0,27.0
201,CHP02585,马钱子,0.8974358974358975,39.0,39.0,35.0,35.0
202,CHP02416,龙须藤,0.8928571428571429,28.0,28.0,25.0,25.0
203,CHP00947,多足蕨,0.8888888888888888,9.0,9.0,8.0,8.0
204,CHP06131,香蕈,0.8888888888888888,9.0,9.0,8.0,8.0
205,CHP06136,猪苓,0.8888888888888888,9.0,9.0,8.0,8.0
206,CHP01988,粳米,0.8888888888888888,9.0,9.0,8.0,8.0
207,CHP03591,山药,0.88,25.0,25.0,22.0,22.0
208,CHP03683,生姜,0.88,75.0,75.0,66.0,66.0
209,CHP01750,灰叶,0.875,8.0,8.0,7.0,7.0
210,CHP03328,忍冬藤,0.875,16.0,16.0,14.0,14.0
211,CHP04578,香薷,0.875,8.0,8.0,7.0,7.0
212,CHP01110,附子,0.8641975308641975,81.0,81.0,70.0,69.0
213,CHP02748,没药,0.8625429553264605,291.0,291.0,251.0,250.0
214,CHP04458,西洋参,0.8571428571428571,49.0,49.0,42.0,42.0
215,CHP02250,了哥王根,0.8571428571428571,7.0,7.0,6.0,6.0
216,CHP02985,牛蒡子,0.8571428571428571,21.0,21.0,18.0,18.0
217,CHP05194,罂粟,0.8571428571428571,7.0,7.0,6.0,6.0
218,CHP02114,苦苣,0.8571428571428571,7.0,7.0,6.0,6.0
219,CHP00281,菠菜,0.8571428571428571,21.0,21.0,18.0,18.0
220,CHP03319,人参,0.84375,128.0,128.0,108.0,107.0
221,CHP03682,升麻,0.8432835820895522,134.0,134.0,113.0,113.0
222,CHP00720,地榆,0.8421052631578947,95.0,95.0,80.0,80.0
223,CHP04293,王不留行,0.8421052631578947,19.0,19.0,16.0,16.0
224,CHP00642,刀豆,0.84,25.0,25.0,21.0,21.0
225,CHP00229,北沙参,0.8380952380952381,105.0,105.0,88.0,87.0
226,CHP04667,小花鬼针草,0.8333333333333334,6.0,6.0,5.0,5.0
227,CHP06060,原蚕沙,0.8333333333333334,6.0,6.0,5.0,5.0
228,CHP06047,熊胆,0.8333333333333334,6.0,6.0,5.0,5.0
229,CHP02488,罗布麻,0.8333333333333334,12.0,12.0,10.0,10.0
230,CHP00349,常春卫矛,0.8333333333333334,6.0,6.0,5.0,5.0
231,CHP00965,鹅掌楸,0.8333333333333334,12.0,12.0,10.0,10.0
232,CHP03547,山里红,0.8333333333333334,6.0,6.0,5.0,5.0
233,CHP05229,油柑叶,0.8333333333333334,6.0,6.0,5.0,5.0
234,CHP03587,山香圆,0.8333333333333334,6.0,6.0,5.0,5.0
235,CHP02282,荔枝叶,0.8333333333333334,6.0,6.0,5.0,5.0
236,CHP01244,骨节草,0.8333333333333334,6.0,6.0,5.0,4.0
237,CHP04736,小叶贯众,0.8333333333333334,6.0,6.0,5.0,4.0
238,CHP05501,枳实,0.8333333333333334,6.0,6.0,5.0,5.0
239,CHP00356,车前子,0.8333333333333334,42.0,42.0,35.0,35.0
240,CHP03352,乳香,0.8311688311688312,77.0,77.0,64.0,64.0
241,CHP03884,水茄,0.8235294117647058,17.0,17.0,14.0,14.0
242,CHP00729,灯盏细辛,0.8235294117647058,17.0,17.0,14.0,14.0
243,CHP03192,牵牛子,0.8205128205128205,39.0,39.0,32.0,31.0
244,CHP02095,苦地丁,0.8148148148148148,27.0,27.0,22.0,22.0
245,CHP04372,无患子,0.8125,16.0,16.0,13.0,13.0
246,CHP01130,甘遂,0.8095238095238095,63.0,63.0,51.0,51.0
247,CHP03024,牛膝,0.808641975308642,162.0,162.0,131.0,131.0
248,CHP02017,桔梗,0.8080808080808081,99.0,99.0,80.0,79.0
249,CHP04231,土槿皮,0.8028169014084507,71.0,71.0,57.0,57.0
250,CHP01029,肺形草,0.8,5.0,5.0,4.0,4.0
251,CHP03317,荛花,0.8,5.0,5.0,4.0,3.0
252,CHP02340,列当,0.8,5.0,5.0,4.0,3.0
253,CHP01728,黄山药,0.8,5.0,5.0,4.0,4.0
254,CHP02803,密蒙花,0.8,35.0,35.0,28.0,28.0
255,CHP01614,桦树皮,0.8,5.0,5.0,4.0,4.0
256,CHP02516,落地生根,0.8,5.0,5.0,4.0,4.0
257,CHP05807,蜂蜜,0.8,5.0,5.0,4.0,4.0
258,CHP04826,悬钩子,0.8,5.0,5.0,4.0,4.0
259,CHP02785,猕猴桃根,0.8,5.0,5.0,4.0,4.0
260,CHP03302,瞿麦,0.8,10.0,10.0,8.0,8.0
261,CHP04276,豌豆,0.8,10.0,10.0,8.0,7.0
262,CHP03341,肉苁蓉,0.796875,64.0,64.0,51.0,49.0
263,CHP00137,白屈菜,0.7931034482758621,58.0,58.0,46.0,45.0
264,CHP05477,知母,0.7912087912087912,91.0,91.0,72.0,72.0
265,CHP05962,牛黄,0.7894736842105263,19.0,19.0,15.0,15.0
266,CHP04828,旋覆花,0.7857142857142857,28.0,28.0,22.0,22.0
267,CHP04164,铁丝灵仙,0.7857142857142857,14.0,14.0,11.0,11.0
268,CHP02155,款冬花,0.7848101265822784,79.0,79.0,62.0,61.0
269,CHP04818,续断,0.7835051546391752,97.0,97.0,76.0,76.0
270,CHP00630,淡豆豉,0.782608695652174,23.0,23.0,18.0,18.0
271,CHP06015,水蛭,0.7777777777777778,9.0,9.0,7.0,7.0
272,CHP02520,落葵花,0.7777777777777778,9.0,9.0,7.0,7.0
273,CHP01964,金樱子,0.7777777777777778,45.0,45.0,35.0,35.0
274,CHP00957,鹅不食草,0.7755102040816326,49.0,49.0,38.0,38.0
275,CHP01992,景天三七,0.7727272727272727,22.0,22.0,17.0,17.0
276,CHP01228,枸骨叶,0.7727272727272727,44.0,44.0,34.0,34.0
277,CHP00617,丹参,0.7702127659574468,235.0,235.0,181.0,179.0
278,CHP00641,党参,0.7692307692307693,65.0,65.0,50.0,50.0
279,CHP01246,瓜蒌,0.7666666666666667,90.0,90.0,69.0,66.0
280,CHP02631,蔓荆子,0.7631578947368421,38.0,38.0,29.0,29.0
281,CHP01007,防风,0.7631578947368421,38.0,38.0,29.0,28.0
282,CHP01127,甘松,0.76,50.0,50.0,38.0,38.0
283,CHP01818,蒺藜,0.76,75.0,75.0,57.0,57.0
284,CHP01836,荚蒾,0.76,25.0,25.0,19.0,19.0
285,CHP06111,灵芝,0.7561837455830389,283.0,283.0,214.0,206.0
286,CHP02090,苦参,0.7553191489361702,94.0,94.0,71.0,71.0
287,CHP02837,墨旱莲,0.7547169811320755,53.0,53.0,40.0,40.0
288,CHP00078,白果根,0.75,16.0,16.0,12.0,12.0
289,CHP02007,韭菜,0.75,4.0,4.0,3.0,3.0
290,CHP01797,鸡嗉子,0.75,4.0,4.0,3.0,3.0
291,CHP00576,大叶骨碎补,0.75,4.0,4.0,3.0,3.0
292,CHP01945,金铁锁,0.75,12.0,12.0,9.0,9.0
293,CHP05409,樟树皮,0.75,4.0,4.0,3.0,3.0
294,CHP04866,鸦胆子,0.75,12.0,12.0,9.0,9.0
295,CHP02947,南天竹叶,0.75,4.0,4.0,3.0,3.0
296,CHP05139,一枝蒿,0.75,4.0,4.0,3.0,3.0
297,CHP03762,石竹,0.75,8.0,8.0,6.0,5.0
298,CHP05565,竹节参,0.75,12.0,12.0,9.0,9.0
299,CHP00772,跌打老,0.75,16.0,16.0,12.0,11.0
300,CHP03162,漆大姑,0.75,4.0,4.0,3.0,3.0
301,CHP05294,玉竹,0.75,12.0,12.0,9.0,9.0
302,CHP00244,蓖麻叶,0.75,4.0,4.0,3.0,3.0
303,CHP03215,茄子根,0.75,4.0,4.0,3.0,3.0
304,CHP03214,茄子,0.75,8.0,8.0,6.0,6.0
305,CHP01763,火索麻,0.75,8.0,8.0,6.0,6.0
306,CHP04839,雪莲花,0.75,4.0,4.0,3.0,3.0
307,CHP00394,臭牡丹,0.75,4.0,4.0,3.0,3.0
308,CHP03754,石韦,0.75,4.0,4.0,3.0,3.0
309,CHP04898,延龄草,0.75,12.0,12.0,9.0,9.0
310,CHP01316,桂花,0.75,8.0,8.0,6.0,6.0
311,CHP03416,三钻风,0.75,4.0,4.0,3.0,2.0
312,CHP00970,鄂北贝母,0.75,8.0,8.0,6.0,6.0
313,CHP00079,白果槲寄生,0.75,4.0,4.0,3.0,3.0
314,CHP05778,蝉蜕,0.75,8.0,8.0,6.0,6.0
315,CHP01008,防风草,0.75,4.0,4.0,3.0,3.0
316,CHP05428,长果荜茇,0.75,4.0,4.0,3.0,3.0
317,CHP04055,糖荠,0.75,8.0,8.0,6.0,6.0
318,CHP04959,羊角拗子,0.75,4.0,4.0,3.0,3.0
319,CHP01126,甘薯,0.75,8.0,8.0,6.0,6.0
320,CHP04108,田葱,0.75,4.0,4.0,3.0,3.0
321,CHP01425,红花,0.7456140350877193,114.0,114.0,85.0,83.0
322,CHP01973,筋骨草,0.7435897435897436,39.0,39.0,29.0,29.0
323,CHP02122,苦楝子,0.7419354838709677,31.0,31.0,23.0,22.0
324,CHP02298,连翘,0.7413793103448276,116.0,116.0,86.0,83.0
325,CHP00884,杜仲,0.7411764705882353,85.0,85.0,63.0,63.0
326,CHP04047,檀香,0.7407407407407407,27.0,27.0,20.0,20.0
327,CHP00252,萹蓄,0.7397260273972602,73.0,73.0,54.0,54.0
328,CHP00885,杜仲叶,0.7397260273972602,73.0,73.0,54.0,52.0
329,CHP02939,南蛇藤根,0.7391304347826086,23.0,23.0,17.0,17.0
330,CHP02904,木香,0.7380952380952381,42.0,42.0,31.0,30.0
331,CHP03363,瑞香,0.7368421052631579,19.0,19.0,14.0,14.0
332,CHP00456,刺五加,0.7358490566037735,53.0,53.0,39.0,38.0
333,CHP01408,红参,0.7358490566037735,53.0,53.0,39.0,39.0
334,CHP02254,雷公藤,0.7354085603112841,257.0,257.0,189.0,188.0
335,CHP01351,诃子,0.7352941176470589,34.0,34.0,25.0,25.0
336,CHP02410,龙脑膏香,0.7333333333333333,15.0,15.0,11.0,11.0
337,CHP03975,松子仁,0.7333333333333333,15.0,15.0,11.0,11.0
338,CHP01911,金果榄,0.7333333333333333,15.0,15.0,11.0,11.0
339,CHP01011,防己,0.7317073170731707,41.0,41.0,30.0,29.0
340,CHP04106,天竺黄,0.7307692307692307,26.0,26.0,19.0,15.0
341,CHP03082,佩兰,0.7288135593220338,59.0,59.0,43.0,42.0
342,CHP01983,荆芥,0.7283950617283951,81.0,81.0,59.0,59.0
343,CHP04419,五味子,0.7280334728033473,239.0,239.0,174.0,174.0
344,CHP04259,菟丝子,0.7272727272727273,11.0,11.0,8.0,7.0
345,CHP00016,安徽贝母,0.7272727272727273,11.0,11.0,8.0,8.0
346,CHP00791,定木香,0.7272727272727273,22.0,22.0,16.0,16.0
347,CHP02869,木蝴蝶,0.7272727272727273,22.0,22.0,16.0,16.0
348,CHP01644,黄瓜,0.7272727272727273,22.0,22.0,16.0,16.0
349,CHP00309,糙苏,0.7272727272727273,11.0,11.0,8.0,8.0
350,CHP05730,总状升麻,0.7272727272727273,11.0,11.0,8.0,8.0
351,CHP00397,臭梧桐,0.7222222222222222,18.0,18.0,13.0,13.0
352,CHP03256,青葙子,0.7222222222222222,18.0,18.0,13.0,13.0
353,CHP03498,山地香茶菜,0.7222222222222222,18.0,18.0,13.0,13.0
354,CHP03732,石榴皮,0.7222222222222222,18.0,18.0,13.0,13.0
355,CHP02618,满山红,0.7209302325581395,43.0,43.0,31.0,29.0
356,CHP02176,辣木,0.7203389830508474,118.0,118.0,85.0,82.0
357,CHP02048,卷柏,0.72,25.0,25.0,18.0,18.0
358,CHP03185,千年健,0.72,25.0,25.0,18.0,18.0
359,CHP03771,柿蒂,0.717948717948718,39.0,39.0,28.0,28.0
360,CHP00093,白花蛇舌草,0.717391304347826,46.0,46.0,33.0,33.0
361,CHP02602,马醉木,0.7142857142857143,14.0,14.0,10.0,10.0
362,CHP03679,肾子草,0.7142857142857143,7.0,7.0,5.0,5.0
363,CHP03088,蟛蜞菊,0.7142857142857143,7.0,7.0,5.0,5.0
364,CHP01551,虎耳草,0.7142857142857143,7.0,7.0,5.0,5.0
365,CHP01376,黑杠柳,0.7142857142857143,7.0,7.0,5.0,5.0
366,CHP01549,蝴蝶花,0.7142857142857143,7.0,7.0,5.0,5.0
367,CHP05185,银杏,0.7142857142857143,42.0,42.0,30.0,30.0
368,CHP04033,台湾泽兰,0.7142857142857143,7.0,7.0,5.0,5.0
369,CHP01727,黄三七,0.7142857142857143,7.0,7.0,5.0,5.0
370,CHP05163,翼首草,0.7142857142857143,14.0,14.0,10.0,10.0
371,CHP05922,鹿茸,0.7142857142857143,7.0,7.0,5.0,5.0
372,CHP00124,白茅根,0.711864406779661,59.0,59.0,42.0,41.0
373,CHP04556,香附,0.7115384615384616,52.0,52.0,37.0,37.0
374,CHP00797,东北雷公藤,0.7105263157894737,38.0,38.0,27.0,25.0
375,CHP01096,浮萍,0.7105263157894737,38.0,38.0,27.0,26.0
376,CHP02405,龙葵,0.7090909090909091,55.0,55.0,39.0,39.0
377,CHP03102,枇杷叶,0.7078651685393258,89.0,89.0,63.0,63.0
378,CHP03423,桑白皮,0.7074829931972789,147.0,147.0,104.0,103.0
379,CHP03946,四季青,0.7058823529411765,17.0,17.0,12.0,11.0
380,CHP03373,三白草,0.7058823529411765,34.0,34.0,24.0,24.0
381,CHP03372,赛莨菪,0.7045454545454546,44.0,44.0,31.0,31.0
382,CHP04006,酸枣仁,0.7037037037037037,27.0,27.0,19.0,19.0
383,CHP02814,绵枣儿,0.7,10.0,10.0,7.0,6.0
384,CHP04008,算盘子,0.7,20.0,20.0,14.0,14.0
385,CHP04306,威灵仙,0.7,40.0,40.0,28.0,28.0
386,CHP00973,儿茶钩藤,0.7,10.0,10.0,7.0,6.0
387,CHP04057,桃儿七,0.7,10.0,10.0,7.0,7.0
388,CHP01600,华山矾,0.7,10.0,10.0,7.0,7.0
389,CHP00676,地肤子,0.7,10.0,10.0,7.0,7.0
390,CHP01242,谷精草,0.7,20.0,20.0,14.0,14.0
